01/01/2000: PI8-2391237
12/05/2000: PI8-1529380
13/05/2000: PI8-1456936
14/05/2000: PI8-338939
15/05/2000: PI8-1113918
16/05/2000: PI8-71790
17/05/2000: PI8-628442
18/05/2000: PI8-224985
19/05/2000: PI8-1104490
20/05/2000: PI8-176004
21/05/2000: PI8-1924327
22/05/2000: PI8-674722
23/05/2000: PI8-413681
24/05/2000: PI8-850729
25/05/2000: PI8-264062
26/05/2000: PI8-575869
27/05/2000: PI8-329512
28/05/2000: PI8-2578971
29/05/2000: PI8-1440014
30/05/2000: PI8-6236
31/05/2000: PI8-2035543
01/06/2000: PI8-643053
02/06/2000: PI8-1104563
03/06/2000: PI8-62423
04/06/2000: PI8-951689
05/06/2000: PI8-379102
06/06/2000: PI8-2173255
07/06/2000: PI8-1898546
08/06/2000: PI8-600452
09/06/2000: PI8-272640
10/06/2000: PI8-121563
11/06/2000: PI8-269780
12/06/2000: PI8-767468
13/06/2000: PI8-1204010
14/06/2000: PI8-922491
15/06/2000: PI8-610396
16/06/2000: PI8-1584211
17/06/2000: PI8-42776
18/06/2000: PI8-862209
19/06/2000: PI8-1268242
20/06/2000: PI8-851827
21/06/2000: PI8-267963
22/06/2000: PI8-815329
23/06/2000: PI8-299848
24/06/2000: PI8-1434623
25/06/2000: PI8-1554457
26/06/2000: PI8-2022645
27/06/2000: PI8-303065
28/06/2000: PI8-610102
29/06/2000: PI8-854606
30/06/2000: PI8-2043459
31/06/2000: PI8-26446
01/07/2000: PI8-441261
02/07/2000: PI8-71663
03/07/2000: PI8-221817
04/07/2000: PI8-1282195
05/07/2000: PI8-913885
06/07/2000: PI8-301699
07/07/2000: PI8-235032
08/07/2000: PI8-1129209
09/07/2000: PI8-627487
10/07/2000: PI8-880424
11/07/2000: PI8-1104674
12/07/2000: PI8-2489778
13/07/2000: PI8-360537
14/07/2000: PI8-416241
15/07/2000: PI8-982214
16/07/2000: PI8-1273495
17/07/2000: PI8-180744
18/07/2000: PI8-1061016
19/07/2000: PI8-418882
20/07/2000: PI8-596166
21/07/2000: PI8-1358257
22/07/2000: PI8-1403002
23/07/2000: PI8-1517731
24/07/2000: PI8-40570
25/07/2000: PI8-50639
26/07/2000: PI8-23047
27/07/2000: PI8-210321
28/07/2000: PI8-2101847
29/07/2000: PI8-110175
30/07/2000: PI8-4365025
31/07/2000: PI8-78946
01/08/2000: PI8-2527199
02/08/2000: PI8-1401267
03/08/2000: PI8-4532748
04/08/2000: PI8-124764
05/08/2000: PI8-806326
06/08/2000: PI8-1422978
07/08/2000: PI8-1227333
08/08/2000: PI8-49375
09/08/2000: PI8-656920
10/08/2000: PI8-642472
11/08/2000: PI8-338542
12/08/2000: PI8-1363297
13/08/2000: PI8-2762973
14/08/2000: PI8-405654
15/08/2000: PI8-1106789
16/08/2000: PI8-1964829
17/08/2000: PI8-268748
18/08/2000: PI8-26035
19/08/2000: PI8-47005
20/08/2000: PI8-11652
21/08/2000: PI8-1571875
22/08/2000: PI8-1656705
23/08/2000: PI8-1335879
24/08/2000: PI8-1184676
25/08/2000: PI8-560380
26/08/2000: PI8-1619644
27/08/2000: PI8-639624
28/08/2000: PI8-705603
29/08/2000: PI8-863930
30/08/2000: PI8-377547
31/08/2000: PI8-1315500
01/09/2000: PI8-1242387
02/09/2000: PI8-1678898
03/09/2000: PI8-1160106
04/09/2000: PI8-343171
05/09/2000: PI8-55480
06/09/2000: PI8-3102987
07/09/2000: PI8-913025
08/09/2000: PI8-2504103
09/09/2000: PI8-472457
10/09/2000: PI8-1745679
11/09/2000: PI8-356341
12/09/2000: PI8-101298
13/09/2000: PI8-83196
14/09/2000: PI8-2068392
15/09/2000: PI8-999417
16/09/2000: PI8-165360
17/09/2000: PI8-455440
18/09/2000: PI8-1059137
19/09/2000: PI8-140071
20/09/2000: PI8-1093882
21/09/2000: PI8-63083
22/09/2000: PI8-1893903
23/09/2000: PI8-638327
24/09/2000: PI8-64621
25/09/2000: PI8-154121
26/09/2000: PI8-689930
27/09/2000: PI8-357072
28/09/2000: PI8-556548
29/09/2000: PI8-1709302
30/09/2000: PI8-725623
31/09/2000: PI8-31839
01/10/2000: PI8-604964
02/10/2000: PI8-158074
03/10/2000: PI8-1298876
04/10/2000: PI8-226702
05/10/2000: PI8-1736049
06/10/2000: PI8-166672
07/10/2000: PI8-1842133
08/10/2000: PI8-855755
09/10/2000: PI8-332633
10/10/2000: PI8-853
11/10/2000: PI8-1368855
12/10/2000: PI8-1113059
13/10/2000: PI8-637658
14/10/2000: PI8-634537
15/10/2000: PI8-676209
16/10/2000: PI8-48939
17/10/2000: PI8-1946550
18/10/2000: PI8-52390
19/10/2000: PI8-47214
20/10/2000: PI8-1017321
21/10/2000: PI8-262621
22/10/2000: PI8-788399
23/10/2000: PI8-2099679
24/10/2000: PI8-26177
25/10/2000: PI8-360085
26/10/2000: PI8-3187918
27/10/2000: PI8-80963
28/10/2000: PI8-1961897
29/10/2000: PI8-573505
30/10/2000: PI8-81596
31/10/2000: PI8-622245
01/11/2000: PI8-1093317
02/11/2000: PI8-734784
03/11/2000: PI8-622244
04/11/2000: PI8-3892550
05/11/2000: PI8-3998725
06/11/2000: PI8-832200
07/11/2000: PI8-605733
08/11/2000: PI8-3644401
09/11/2000: PI8-1277566
10/11/2000: PI8-3846
11/11/2000: PI8-3864005
12/11/2000: PI8-393708
13/11/2000: PI8-807227
14/11/2000: PI8-3226903
15/11/2000: PI8-1449577
16/11/2000: PI8-806560
17/11/2000: PI8-816235
18/11/2000: PI8-791042
19/11/2000: PI8-289558
20/11/2000: PI8-194013
21/11/2000: PI8-518665
22/11/2000: PI8-262620
23/11/2000: PI8-2397012
24/11/2000: PI8-469582
25/11/2000: PI8-655416
26/11/2000: PI8-498361
27/11/2000: PI8-775552
28/11/2000: PI8-318315
29/11/2000: PI8-321662
30/11/2000: PI8-463987
31/11/2000: PI8-2978944
01/12/2000: PI8-2768622
02/12/2000: PI8-459561
03/12/2000: PI8-1288585
04/12/2000: PI8-1601038
05/12/2000: PI8-1502359
06/12/2000: PI8-509703
07/12/2000: PI8-808585
08/12/2000: PI8-614159
09/12/2000: PI8-55007
10/12/2000: PI8-1134483
11/12/2000: PI8-3284960
12/12/2000: PI8-361276
13/12/2000: PI8-1184863
14/12/2000: PI8-815729
15/12/2000: PI8-1594935
16/12/2000: PI8-583665
17/12/2000: PI8-1557485
18/12/2000: PI8-111509
19/12/2000: PI8-239198
20/12/2000: PI8-297797
21/12/2000: PI8-372867
22/12/2000: PI8-932403
23/12/2000: PI8-141592
24/12/2000: PI8-8621
25/12/2000: PI8-433988
26/12/2000: PI8-1371656
27/12/2000: PI8-1664476
28/12/2000: PI8-3639653
29/12/2000: PI8-2681745
30/12/2000: PI8-439796
31/12/2000: PI8-301388
01/01/2001: PI8-625471
02/01/2001: PI8-2103371
03/01/2001: PI8-406086
04/01/2001: PI8-729979
05/01/2001: PI8-344127
06/01/2001: PI8-850031
07/01/2001: PI8-1051224
08/01/2001: PI8-316098
09/01/2001: PI8-494632
10/01/2001: PI8-981505
11/01/2001: PI8-288804
12/01/2001: PI8-135022
13/01/2001: PI8-362506
14/01/2001: PI8-1202550
15/01/2001: PI8-536090
16/01/2001: PI8-310889
17/01/2001: PI8-415903
18/01/2001: PI8-1482392
19/01/2001: PI8-159242
20/01/2001: PI8-2165977
21/01/2001: PI8-152263
22/01/2001: PI8-1233886
23/01/2001: PI8-425040
24/01/2001: PI8-863537
25/01/2001: PI8-296907
26/01/2001: PI8-1106515
27/01/2001: PI8-677860
28/01/2001: PI8-458758
29/01/2001: PI8-932578
30/01/2001: PI8-125807
31/01/2001: PI8-458016
01/02/2001: PI8-123981
02/02/2001: PI8-3585762
03/02/2001: PI8-708849
04/02/2001: PI8-404339
05/02/2001: PI8-1088947
06/02/2001: PI8-736877
07/02/2001: PI8-2700056
08/02/2001: PI8-694745
09/02/2001: PI8-143326
10/02/2001: PI8-783041
11/02/2001: PI8-276065
12/02/2001: PI8-96975
13/02/2001: PI8-605055
14/02/2001: PI8-219771
15/02/2001: PI8-866050
16/02/2001: PI8-372966
17/02/2001: PI8-3279216
18/02/2001: PI8-302034
19/02/2001: PI8-2152059
20/02/2001: PI8-293309
21/02/2001: PI8-1079142
22/02/2001: PI8-105639
23/02/2001: PI8-378976
24/02/2001: PI8-21860
25/02/2001: PI8-353488
26/02/2001: PI8-1112978
27/02/2001: PI8-266746
28/02/2001: PI8-2570579
29/02/2001: PI8-371863
30/02/2001: PI8-538828
31/02/2001: PI8-472909
01/03/2001: PI8-78246
02/03/2001: PI8-39116
03/03/2001: PI8-230135
04/03/2001: PI8-933139
05/03/2001: PI8-312936
06/03/2001: PI8-1985264
07/03/2001: PI8-314712
08/03/2001: PI8-759001
09/03/2001: PI8-263962
10/03/2001: PI8-257494
11/03/2001: PI8-463984
12/03/2001: PI8-1071607
13/03/2001: PI8-713204
14/03/2001: PI8-398364
15/03/2001: PI8-873266
16/03/2001: PI8-300789
17/03/2001: PI8-1624022
18/03/2001: PI8-346032
19/03/2001: PI8-1463244
20/03/2001: PI8-53816
21/03/2001: PI8-531194
22/03/2001: PI8-406084
23/03/2001: PI8-1043
24/03/2001: PI8-298017
25/03/2001: PI8-20037
26/03/2001: PI8-2310315
27/03/2001: PI8-3043852
28/03/2001: PI8-892800
29/03/2001: PI8-199176
30/03/2001: PI8-776851
31/03/2001: PI8-1416669
01/04/2001: PI8-449587
02/04/2001: PI8-969132
03/04/2001: PI8-422500
04/04/2001: PI8-71005
05/04/2001: PI8-1170312
06/04/2001: PI8-828350
07/04/2001: PI8-180320
08/04/2001: PI8-383226
09/04/2001: PI8-1432562
10/04/2001: PI8-2658112
11/04/2001: PI8-82426
12/04/2001: PI8-864876
13/04/2001: PI8-2935728
14/04/2001: PI8-287446
15/04/2001: PI8-238832
16/04/2001: PI8-2597176
17/04/2001: PI8-1680886
18/04/2001: PI8-2531056
19/04/2001: PI8-586530
20/04/2001: PI8-696555
21/04/2001: PI8-195216
22/04/2001: PI8-4363437
23/04/2001: PI8-436164
24/04/2001: PI8-19623
25/04/2001: PI8-1118473
26/04/2001: PI8-193545
27/04/2001: PI8-614985
28/04/2001: PI8-37613
29/04/2001: PI8-589753
30/04/2001: PI8-148470
31/04/2001: PI8-1227850
01/05/2001: PI8-604960
02/05/2001: PI8-632636
03/05/2001: PI8-264987
04/05/2001: PI8-511945
05/05/2001: PI8-296004
06/05/2001: PI8-242735
07/05/2001: PI8-324495
08/05/2001: PI8-566800
09/05/2001: PI8-410953
10/05/2001: PI8-629652
11/05/2001: PI8-639107
12/05/2001: PI8-258984
13/05/2001: PI8-108956
14/05/2001: PI8-1395283
15/05/2001: PI8-2837144
16/05/2001: PI8-1648074
17/05/2001: PI8-978287
18/05/2001: PI8-815741
19/05/2001: PI8-1961146
20/05/2001: PI8-234283
21/05/2001: PI8-2111670
22/05/2001: PI8-1108704
23/05/2001: PI8-220097
24/05/2001: PI8-1286890
25/05/2001: PI8-993809
26/05/2001: PI8-3024751
27/05/2001: PI8-4484226
28/05/2001: PI8-364949
29/05/2001: PI8-2052241
30/05/2001: PI8-1821038
31/05/2001: PI8-182558
01/06/2001: PI8-2131959
02/06/2001: PI8-775573
03/06/2001: PI8-3719138
04/06/2001: PI8-2248648
05/06/2001: PI8-890141
06/06/2001: PI8-355093
07/06/2001: PI8-230457
08/06/2001: PI8-1347028
09/06/2001: PI8-251271
10/06/2001: PI8-712104
11/06/2001: PI8-2268888
12/06/2001: PI8-962726
13/06/2001: PI8-574874
14/06/2001: PI8-1238094
15/06/2001: PI8-1225489
16/06/2001: PI8-285130
17/06/2001: PI8-414273
18/06/2001: PI8-1023854
19/06/2001: PI8-2813095
20/06/2001: PI8-143827
21/06/2001: PI8-1018176
22/06/2001: PI8-768534
23/06/2001: PI8-960785
24/06/2001: PI8-196987
25/06/2001: PI8-189941
26/06/2001: PI8-1556303
27/06/2001: PI8-202687
28/06/2001: PI8-705131
29/06/2001: PI8-476415
30/06/2001: PI8-540775
31/06/2001: PI8-13736
01/07/2001: PI8-1509967
02/07/2001: PI8-2936139
03/07/2001: PI8-697007
04/07/2001: PI8-517376
05/07/2001: PI8-354393
06/07/2001: PI8-1821799
07/07/2001: PI8-1080361
08/07/2001: PI8-1349452
09/07/2001: PI8-1242777
10/07/2001: PI8-1705688
11/07/2001: PI8-565400
12/07/2001: PI8-128432
13/07/2001: PI8-4645593
14/07/2001: PI8-3128001
15/07/2001: PI8-607769
16/07/2001: PI8-3448812
17/07/2001: PI8-1947733
18/07/2001: PI8-457450
19/07/2001: PI8-1925050
20/07/2001: PI8-2958214
21/07/2001: PI8-1308475
22/07/2001: PI8-3132722
23/07/2001: PI8-1669752
24/07/2001: PI8-3009396
25/07/2001: PI8-166198
26/07/2001: PI8-2157181
27/07/2001: PI8-23774
28/07/2001: PI8-420014
29/07/2001: PI8-1624868
30/07/2001: PI8-298567
31/07/2001: PI8-774231
01/08/2001: PI8-16216
02/08/2001: PI8-33648
03/08/2001: PI8-316096
04/08/2001: PI8-1013853
05/08/2001: PI8-1323041
06/08/2001: PI8-40470
07/08/2001: PI8-3110258
08/08/2001: PI8-618800
09/08/2001: PI8-976265
10/08/2001: PI8-275141
11/08/2001: PI8-567711
12/08/2001: PI8-553907
13/08/2001: PI8-163274
14/08/2001: PI8-380141
15/08/2001: PI8-2918946
16/08/2001: PI8-255179
17/08/2001: PI8-912170
18/08/2001: PI8-1015055
19/08/2001: PI8-1197388
20/08/2001: PI8-184447
21/08/2001: PI8-1933366
22/08/2001: PI8-1725943
23/08/2001: PI8-557014
24/08/2001: PI8-1294633
25/08/2001: PI8-647640
26/08/2001: PI8-2283889
27/08/2001: PI8-3418410
28/08/2001: PI8-65265
29/08/2001: PI8-1600751
30/08/2001: PI8-883857
31/08/2001: PI8-16036
01/09/2001: PI8-1853969
02/09/2001: PI8-494630
03/09/2001: PI8-1098124
04/09/2001: PI8-1073646
05/09/2001: PI8-543430
06/09/2001: PI8-501921
07/09/2001: PI8-2044025
08/09/2001: PI8-973572
09/09/2001: PI8-527134
10/09/2001: PI8-416469
11/09/2001: PI8-938103
12/09/2001: PI8-1849840
13/09/2001: PI8-204913
14/09/2001: PI8-221836
15/09/2001: PI8-3038379
16/09/2001: PI8-2146750
17/09/2001: PI8-170622
18/09/2001: PI8-2355630
19/09/2001: PI8-1054439
20/09/2001: PI8-1376041
21/09/2001: PI8-237450
22/09/2001: PI8-786784
23/09/2001: PI8-702723
24/09/2001: PI8-2348134
25/09/2001: PI8-764861
26/09/2001: PI8-627107
27/09/2001: PI8-372359
28/09/2001: PI8-429601
29/09/2001: PI8-3166197
30/09/2001: PI8-3162510
31/09/2001: PI8-1706254
01/10/2001: PI8-463988
02/10/2001: PI8-770257
03/10/2001: PI8-976894
04/10/2001: PI8-1202645
05/10/2001: PI8-613507
06/10/2001: PI8-1679964
07/10/2001: PI8-469985
08/10/2001: PI8-1759231
09/10/2001: PI8-345141
10/10/2001: PI8-5436727
11/10/2001: PI8-2298038
12/10/2001: PI8-842509
13/10/2001: PI8-1314429
14/10/2001: PI8-1403036
15/10/2001: PI8-1455302
16/10/2001: PI8-41630
17/10/2001: PI8-4055201
18/10/2001: PI8-367246
19/10/2001: PI8-291909
20/10/2001: PI8-1110450
21/10/2001: PI8-2856833
22/10/2001: PI8-49228
23/10/2001: PI8-605297
24/10/2001: PI8-2366955
25/10/2001: PI8-16904
26/10/2001: PI8-1338375
27/10/2001: PI8-324102
28/10/2001: PI8-1833434
29/10/2001: PI8-301883
30/10/2001: PI8-1356212
31/10/2001: PI8-590856
01/11/2001: PI8-350649
02/11/2001: PI8-1100515
03/11/2001: PI8-112819
04/11/2001: PI8-614395
05/11/2001: PI8-153507
06/11/2001: PI8-1527347
07/11/2001: PI8-30235
08/11/2001: PI8-1514689
09/11/2001: PI8-8268
10/11/2001: PI8-1830510
11/11/2001: PI8-3731179
12/11/2001: PI8-1041926
13/11/2001: PI8-651296
14/11/2001: PI8-1010057
15/11/2001: PI8-259015
16/11/2001: PI8-17083
17/11/2001: PI8-568152
18/11/2001: PI8-1697710
19/11/2001: PI8-713808
20/11/2001: PI8-487255
21/11/2001: PI8-1208150
22/11/2001: PI8-468372
23/11/2001: PI8-931018
24/11/2001: PI8-2212689
25/11/2001: PI8-460380
26/11/2001: PI8-2165328
27/11/2001: PI8-3271127
28/11/2001: PI8-522485
29/11/2001: PI8-91852
30/11/2001: PI8-93255
31/11/2001: PI8-2971333
01/12/2001: PI8-643199
02/12/2001: PI8-89346
03/12/2001: PI8-211063
04/12/2001: PI8-396307
05/12/2001: PI8-122094
06/12/2001: PI8-2212178
07/12/2001: PI8-491300
08/12/2001: PI8-459150
09/12/2001: PI8-1160989
10/12/2001: PI8-928843
11/12/2001: PI8-271770
12/12/2001: PI8-1747612
13/12/2001: PI8-410019
14/12/2001: PI8-943298
15/12/2001: PI8-767299
16/12/2001: PI8-411537
17/12/2001: PI8-517586
18/12/2001: PI8-490976
19/12/2001: PI8-733513
20/12/2001: PI8-1994772
21/12/2001: PI8-3822
22/12/2001: PI8-1042254
23/12/2001: PI8-583887
24/12/2001: PI8-57979
25/12/2001: PI8-392622
26/12/2001: PI8-1271446
27/12/2001: PI8-242
28/12/2001: PI8-3083125
29/12/2001: PI8-749249
30/12/2001: PI8-2021234
31/12/2001: PI8-19036
01/01/2002: PI8-82516
02/01/2002: PI8-86358
03/01/2002: PI8-346034
04/01/2002: PI8-3161803
05/01/2002: PI8-416753
06/01/2002: PI8-517463
07/01/2002: PI8-425392
08/01/2002: PI8-1367469
09/01/2002: PI8-877476
10/01/2002: PI8-1467076
11/01/2002: PI8-971881
12/01/2002: PI8-487529
13/01/2002: PI8-232788
14/01/2002: PI8-222975
15/01/2002: PI8-1619665
16/01/2002: PI8-55950
17/01/2002: PI8-1546455
18/01/2002: PI8-191410
19/01/2002: PI8-424383
20/01/2002: PI8-489606
21/01/2002: PI8-544404
22/01/2002: PI8-982311
23/01/2002: PI8-203154
24/01/2002: PI8-3551232
25/01/2002: PI8-3793447
26/01/2002: PI8-1764977
27/01/2002: PI8-6597
28/01/2002: PI8-153334
29/01/2002: PI8-752297
30/01/2002: PI8-214354
31/01/2002: PI8-1750968
01/02/2002: PI8-2741221
02/02/2002: PI8-560074
03/02/2002: PI8-477276
04/02/2002: PI8-567572
05/02/2002: PI8-660780
06/02/2002: PI8-141547
07/02/2002: PI8-858671
08/02/2002: PI8-2313185
09/02/2002: PI8-988403
10/02/2002: PI8-65895
11/02/2002: PI8-617896
12/02/2002: PI8-1121298
13/02/2002: PI8-990769
14/02/2002: PI8-85846
15/02/2002: PI8-1848158
16/02/2002: PI8-455972
17/02/2002: PI8-553973
18/02/2002: PI8-182578
19/02/2002: PI8-542710
20/02/2002: PI8-2553839
21/02/2002: PI8-994845
22/02/2002: PI8-7285
23/02/2002: PI8-2211921
24/02/2002: PI8-385890
25/02/2002: PI8-1833629
26/02/2002: PI8-251347
27/02/2002: PI8-2152830
28/02/2002: PI8-46873
29/02/2002: PI8-350789
30/02/2002: PI8-3780833
31/02/2002: PI8-327866
01/03/2002: PI8-1117654
02/03/2002: PI8-640401
03/03/2002: PI8-941080
04/03/2002: PI8-1594522
05/03/2002: PI8-441939
06/03/2002: PI8-712880
07/03/2002: PI8-106074
08/03/2002: PI8-457839
09/03/2002: PI8-10712
10/03/2002: PI8-477274
11/03/2002: PI8-257785
12/03/2002: PI8-252974
13/03/2002: PI8-1111393
14/03/2002: PI8-6276503
15/03/2002: PI8-1437
16/03/2002: PI8-7789
17/03/2002: PI8-499457
18/03/2002: PI8-1500400
19/03/2002: PI8-42298
20/03/2002: PI8-2358772
21/03/2002: PI8-98295
22/03/2002: PI8-340781
23/03/2002: PI8-196667
24/03/2002: PI8-1529263
25/03/2002: PI8-945520
26/03/2002: PI8-633622
27/03/2002: PI8-1104559
28/03/2002: PI8-391856
29/03/2002: PI8-285161
30/03/2002: PI8-500823
31/03/2002: PI8-278961
01/04/2002: PI8-281173
02/04/2002: PI8-64171
03/04/2002: PI8-1182709
04/04/2002: PI8-70498
05/04/2002: PI8-388853
06/04/2002: PI8-332410
07/04/2002: PI8-410281
08/04/2002: PI8-630545
09/04/2002: PI8-338609
10/04/2002: PI8-1639391
11/04/2002: PI8-1305068
12/04/2002: PI8-1137426
13/04/2002: PI8-19630
14/04/2002: PI8-3080039
15/04/2002: PI8-725452
16/04/2002: PI8-1269459
17/04/2002: PI8-1001482
18/04/2002: PI8-272212
19/04/2002: PI8-32259
20/04/2002: PI8-173587
21/04/2002: PI8-848124
22/04/2002: PI8-814774
23/04/2002: PI8-585895
24/04/2002: PI8-455863
25/04/2002: PI8-3265247
26/04/2002: PI8-434654
27/04/2002: PI8-1004367
28/04/2002: PI8-203191
29/04/2002: PI8-292769
30/04/2002: PI8-138559
31/04/2002: PI8-114987
01/05/2002: PI8-811637
02/05/2002: PI8-1002708
03/05/2002: PI8-1399139
04/05/2002: PI8-140219
05/05/2002: PI8-327929
06/05/2002: PI8-3196692
07/05/2002: PI8-265619
08/05/2002: PI8-53150
09/05/2002: PI8-1335639
10/05/2002: PI8-619908
11/05/2002: PI8-2742647
12/05/2002: PI8-723577
13/05/2002: PI8-36375
14/05/2002: PI8-241952
15/05/2002: PI8-2055673
16/05/2002: PI8-227433
17/05/2002: PI8-73148
18/05/2002: PI8-441423
19/05/2002: PI8-25154
20/05/2002: PI8-428806
21/05/2002: PI8-1292247
22/05/2002: PI8-124153
23/05/2002: PI8-1983418
24/05/2002: PI8-1302271
25/05/2002: PI8-1199362
26/05/2002: PI8-185871
27/05/2002: PI8-494626
28/05/2002: PI8-183441
29/05/2002: PI8-953075
30/05/2002: PI8-437273
31/05/2002: PI8-34729
01/06/2002: PI8-135836
02/06/2002: PI8-269526
03/06/2002: PI8-251639
04/06/2002: PI8-2870619
05/06/2002: PI8-501802
06/06/2002: PI8-1922076
07/06/2002: PI8-96074
08/06/2002: PI8-24190
09/06/2002: PI8-557452
10/06/2002: PI8-72022
11/06/2002: PI8-955594
12/06/2002: PI8-1810894
13/06/2002: PI8-572535
14/06/2002: PI8-3131018
15/06/2002: PI8-1049579
16/06/2002: PI8-108489
17/06/2002: PI8-231805
18/06/2002: PI8-269243
19/06/2002: PI8-183526
20/06/2002: PI8-239656
21/06/2002: PI8-1387057
22/06/2002: PI8-246626
23/06/2002: PI8-580357
24/06/2002: PI8-1703305
25/06/2002: PI8-300155
26/06/2002: PI8-412580
27/06/2002: PI8-158952
28/06/2002: PI8-680267
29/06/2002: PI8-51730
30/06/2002: PI8-386460
31/06/2002: PI8-459098
01/07/2002: PI8-3119353
02/07/2002: PI8-2456734
03/07/2002: PI8-1731853
04/07/2002: PI8-28777
05/07/2002: PI8-9677
06/07/2002: PI8-923866
07/07/2002: PI8-345705
08/07/2002: PI8-1309232
09/07/2002: PI8-207830
10/07/2002: PI8-60322
11/07/2002: PI8-481682
12/07/2002: PI8-1385882
13/07/2002: PI8-103623
14/07/2002: PI8-2050524
15/07/2002: PI8-466669
16/07/2002: PI8-407941
17/07/2002: PI8-1125879
18/07/2002: PI8-1134931
19/07/2002: PI8-542
20/07/2002: PI8-1332711
21/07/2002: PI8-374798
22/07/2002: PI8-2433836
23/07/2002: PI8-214574
24/07/2002: PI8-295859
25/07/2002: PI8-3640713
26/07/2002: PI8-3115038
27/07/2002: PI8-680868
28/07/2002: PI8-1780119
29/07/2002: PI8-78828
30/07/2002: PI8-147083
31/07/2002: PI8-1113162
01/08/2002: PI8-281980
02/08/2002: PI8-566983
03/08/2002: PI8-149647
04/08/2002: PI8-100846
05/08/2002: PI8-51069
06/08/2002: PI8-128494
07/08/2002: PI8-3889377
08/08/2002: PI8-857202
09/08/2002: PI8-511834
10/08/2002: PI8-694743
11/08/2002: PI8-1228906
12/08/2002: PI8-2037990
13/08/2002: PI8-211137
